Site,Species,Plot,Tag_ID,Population,GreenhouseID,Clone,Endo,Position,ini_Tiller
BAS,AGHY,1,811,LPEF,242-5-24,NA,0,1,21
BAS,AGHY,1,812,LPEF,GH-35-1,AV,1,2,13
BAS,AGHY,1,813,LPEF,GH-35-8,AC,1,3,9
BAS,AGHY,1,814,COHR,215-1-15,BB,0,4,15
BAS,AGHY,1,815,COHR,35-1-30,AF,1,5,9
BAS,AGHY,1,816,COHR,35-6-7,NA,1,6,16
BAS,AGHY,1,817,SJC,42-3-14,NA,1,7,13
BAS,AGHY,1,818,SJC,42-3-57,NA,1,8,14
BAS,AGHY,1,819,SJC,42-3-21,NA,1,9,13
BAS,AGHY,1,820,SJC,42-3-28,NA,1,10,13
BAS,AGHY,1,821,COHR,35-6-14,AB,1,11,9
BAS,AGHY,1,822,COHR,35-1-25,AF,1,12,6
BAS,AGHY,1,823,LPEF,GH-35-8,AR,1,13,10
BAS,AGHY,1,824,SJC,42-3-7,NA,0,14,5
BAS,AGHY,1,825,LPEF,GH-35-3,BF,1,15,6
BAS,AGHY,2,901,SJC,42-3-6,NA,1,1,8
BAS,AGHY,2,902,LPEF,242-7-6V,DG,0,2,6
BAS,AGHY,2,903,COHR,35-6-21,AB,1,3,9
BAS,AGHY,2,904,SJC,42-3-13,NA,1,4,11
BAS,AGHY,2,905,COHR,35-1-33,AC,1,5,20
BAS,AGHY,2,906,LPEF,GH-35-1,AH,1,6,11
BAS,AGHY,2,907,SJC,42-3-20,NA,1,7,13
BAS,AGHY,2,908,LPEF,GH-35-6,BB,1,8,17
BAS,AGHY,2,909,COHR,215-1-15,CT,0,9,3
BAS,AGHY,2,910,COHR,35-1-14,AC,1,10,13
BAS,AGHY,2,911,SJC,42-4-103,NA,0,10,5
BAS,AGHY,2,912,LPEF,GH-35-8,AD,1,12,9
BAS,AGHY,2,913,COHR,35-1-30,AG,1,13,23
BAS,AGHY,2,914,SJC,42-3-12,NA,1,14,12
BAS,AGHY,2,915,LPEF,GH-35-3,AR,1,15,9
BAS,AGHY,3,826,LPEF,242-2-40,NA,0,1,13
BAS,AGHY,3,827,COHR,35-1-19,AA,0,2,21
BAS,AGHY,3,828,SJC,42-4-1,NA,0,3,15
BAS,AGHY,3,829,COHR,215-2,BM,0,4,17
BAS,AGHY,3,830,SJC,42-4-15,NA,0,5,13
BAS,AGHY,3,831,COHR,35-1-28,AA,0,6,12
BAS,AGHY,3,832,SJC,42-4-8,NA,0,7,15
BAS,AGHY,3,833,LPEF,GH-35-3,BG,1,8,9
BAS,AGHY,3,834,COHR,215-1-15,AI2,0,9,4
BAS,AGHY,3,835,COHR,215-1-15,AP2,0,10,7
BAS,AGHY,3,836,LPEF,242-7-6V,DF,0,11,7
BAS,AGHY,3,837,LPEF,242-7-6V,DA,0,12,5
BAS,AGHY,3,838,LPEF,242-7-6V,DB,0,13,5
BAS,AGHY,3,839,SJC,42-3-50,NA,1,14,7
BAS,AGHY,3,840,COHR,35-1-25,AA,1,15,24
BAS,AGHY,4,931,COHR,35-1-15,AJ,1,1,6
BAS,AGHY,4,932,COHR,35-6-14,AH,1,2,9
BAS,AGHY,4,933,COHR,215-3-45,AM,0,3,19
BAS,AGHY,4,934,SJC,42-3-34,NA,1,4,5
BAS,AGHY,4,935,LPEF,242-2-39,NA,0,5,19
BAS,AGHY,4,936,LPEF,GH-35-8,AH,1,6,2
BAS,AGHY,4,937,SJC,42-4-89,NA,0,7,4
BAS,AGHY,4,938,SJC,42-4-96,NA,0,8,14
BAS,AGHY,4,939,COHR,35-1-17,AB,1,9,10
BAS,AGHY,4,940,COHR,215-1-15,AW2,0,10,4
