Site,Plot,Pos,plant_ID,clone_ID,Tag_ID,slide_ID,grid_loc,Total_A_mm2,Visible_A_mm2,total_hy,A_hy_mm2,L_mm,D_L
BFL,4,6,239,AP,2691,A2,E3,0.982,0.736,0,0,0,0
BFL,4,6,239,AP,2691,A2,H3,0.534,0.208,2,3.16E-04,0.065,0.3125
BFL,4,6,239,AP,2691,A2,C5,1.652,1.642,2,1.44E-02,2.058,1.253349574
BFL,4,6,239,AP,2691,A2,C7,1.05,0.97,1,7.17E-04,0.13,0.134020619
BFL,4,6,239,AP,2691,A2,C3,0.785,0.69,0,0,0,0
BFL,4,6,239,AP,2691,A2,D5,1.474,1.394,9,1.27E-02,2.31,1.657101865
BFL,4,6,239,AP,2691,A2,E7,1.174,1.034,1,8.43E-04,0.159,0.15377176
BFL,4,6,239,AP,2691,A2,D2,0.946,0.895,2,9.18E-04,0.133,0.148603352
BFL,4,6,239,AP,2691,A2,B7,1.636,1.018,2,8.25E-04,0.114,0.111984283
BFL,4,6,239,AP,2691,A2,F3,1.536,1.439,0,0,0,0
BFL,6,9,225,AK,2438,A3,H1,1.161,1.161,14,7.07E-03,1.884,1.622739018
BFL,6,9,225,AK,2438,A3,F4,2.04,1.998,14,4.78E-03,1.804,0.902902903
BFL,6,9,225,AK,2438,A3,D6,0.904,0.904,10,2.54E-03,0.888,0.982300885
BFL,6,9,225,AK,2438,A3,A2,1.65,1.498,27,7.47E-03,2.511,1.67623498
BFL,6,9,225,AK,2438,A3,F1,0.96,0.96,11,3.79E-03,1.321,1.376041667
BFL,6,9,225,AK,2438,A3,C4,2.048,2.048,19,5.69E-03,1.816,0.88671875
BFL,6,9,225,AK,2438,A3,G7,1.285,1.248,2,3.36E-04,0.113,0.090544872
BFL,6,9,225,AK,2438,A3,H7,0.655,0.594,5,1.07E-03,0.385,0.648148148
BFL,6,9,225,AK,2438,A3,D5,1.106,1.088,5,9.33E-04,0.462,0.424632353
BFL,6,9,225,AK,2438,A3,B6,0.59,0.59,2,1.34E-04,0.055,0.093220339
BFL,6,9,225,AK,2438,A3,G5,1.091,1.091,14,3.28E-03,1.462,1.340054995
BFL,7,4,110-44L-10,AF,2418,A4,C8,0.962,0.863,1,1.16E-04,0.047,0.054461182
BFL,7,4,110-44L-10,AF,2418,A4,E1,0.984,0.852,1,1.33E-04,0.057,0.066901408
