"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-01",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-02",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-03",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-04",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-05",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-06",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-07",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-08",,,"0.16",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-09",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-10",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-11",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-12",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-13",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-14",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-15",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-16",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-17",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-18",,,"0.01","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-19",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-20",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-21",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-22",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-25","    3","0.58",,,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-26",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-27",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-01-28",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-03","    6","0.48",,,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-04",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-05",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-06",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-07",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-08",,,"0.86",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-09",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-10",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-11",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-12",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-13",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-14",,,"0.05",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-15",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-16",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-17",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-18",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-19",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-20",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-21",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-22",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-23",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-24",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-25",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-26",,,"0.01",,,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-27",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-02-28",,,"0.00","0.0",,,,
"US1TXKR0081","KERRVILLE 1.6 NW, TX US","2023-03-01",,,"0.00","0.0",,,,
