STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/1/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/2/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/3/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/4/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/5/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/6/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/7/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/8/23,NA,NA,0.16,NA,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/9/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/10/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/11/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/12/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/13/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/14/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/15/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/16/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/17/23,NA,NA,0,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/18/23,NA,NA,0.01,0,NA,NA,NA,NA
US1TXKR0081,"KERRVILLE 1.6 NW, TX US",1/19/23,NA,NA,0,0,NA,NA,NA,NA
