"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-08-21",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-08-22",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-08-23",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-08-24",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-08-25",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-08-26",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-08-27",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-08-28",,,"1.8",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-08-29",,,"0.8",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-08-30",,,"1.0",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-08-31",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-01",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-04","    3","6.1",,,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-05",,,"4.8",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-06",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-07",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-08",,,"5.6",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-09",,,"11.4",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-10",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-11",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-12",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-13",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-14",,,"1.8",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-15",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-17","    2","2.0",,,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-18",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-19",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-20",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-21",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-22",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-23",,,"2.3",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-24",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-25",,,"1.3",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-26",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-27",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-28",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-29",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-09-30",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-01",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-02",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-03",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-04",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-05",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-06",,,"18.8",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-07",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-08",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-09",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-10",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-11",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-12",,,"9.7",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-13",,,"0.0",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-14",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-15",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-16",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-17",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-18",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-19",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-20",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-21",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-22",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-23",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-24",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-25",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-26",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-27",,,"0.8",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-28",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-29",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-30",,,"0.3",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-10-31",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-01",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-02",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-11",,,"4.3",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-12",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-15",,,"43.9",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-18",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-19",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-20",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-21",,,"21.8",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-22",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-23",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-24",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-25",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-26",,,"2.0",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-27",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-28",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-29",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-11-30",,,"6.4",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-12-01",,,"145.0",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-12-02",,,"12.4",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-12-03",,,"0.3",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-12-04",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-12-05",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-12-08",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-12-11","    3","13.2",,,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-12-17",,,"41.7",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-12-18",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-12-23",,,"1.0",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2023-12-24",,,"2.8",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2024-01-03",,,"20.8",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2024-01-05",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2024-01-06",,,"34.5",,,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2024-01-07",,,"0.0","0.0",,,,,
"US1LAVM0010","KAPLAN 6.2 ENE, LA US","30.04283","-92.19103","5.2","2024-01-08",,,"0.0","0.0",,,,,
